	city	City name (CDP)	City name (carbonn)	City name (PKU)	City name (GEA)	City name (UITP)	City name (WB)	Definition (CDP)	Definition (carbonn)	Definition (WB)	Study year (WB)	Reporting year (CDP)	Scope-1 GHG emissions [tCO2 or tCO2-eq]	Scope-1 source dataset	Scope-1 GHG emissions units	Year of emission	Emissions protocol	Gases included (CDP)	Methodology details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Scope-2 (CDP) [tCO2-eq]	Total emissions (CDP) [tCO2-eq]	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean (CDP) [tCO2]	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean (CDP) [tCO2]	Scope fraction (CDP)	CO2 emissions per capita (PKU) [tCO2/capita]	City location (CDP) [degrees]	Latitude (others) [degrees]	Longitude (others) [degrees]	Coordinate source (others)	Country	Region	Population (CDP)	Population year (CDP)	Population (carbonn)	Population year (carbonn)	Urban population (PKU)	Population (GEA)	Population (UITP)	Population (WB)	Population year (WB)	Population (others)	Population year (others)	Population source (others)	Population 1950 (WB)	Population 1990 (WB)	Population 2010 (WB)	Population growth rate 1950-2010 (WB) [people/60years]	Population growth rate 1990-2010 (WB) [people/20years]	Ancillary from GEA+	City area (CDP) [km2]	City area (GEA) [km2]	City area (WB) [km2]	Built-up area (PKU) [km2]	City area (others) [km2]	City area source year (others)	City area source (others)	Population density (GEA) [people/km2]	Population density (UITP) [people/km2]	Population density (WB) [people/km2]	Population/sqrt(area) (GEA) [people/km]	Population/sqrt(area) (WB) [people/km]	Average altitude [m]	Average annual temperature (CDP) [degrees Celsius]	Weather station ID (GEA+)	CDD 23C (GEA+) [degrees C × days]	HDD 15.5C (GEA+) [degrees C × days]	HDD 15.5C (clim) [degrees C × days]	CDD 23C (clim) [degrees C × days]	GDP (CDP) [multiple units]	GDP unit (CDP)	GDP year (CDP)	GDP source (CDP)	GDP (carbonn) [multiple units]	nGDP (carbonn) [multiple units]	GDP unit (carbonn)	GDP year (carbonn)	GDP (PKU) [10000 RMB]	Income per capita (PKU) [RMB/capita]	GDP-PPP (others) [$BN]	GDP-PPP/capita (others) [USD/capita]	GDP-PPP source (others)	GDP-PPP year (others)	nGDP (others) [$BN]	nGDP/capita (others) [USD/capita]	nGDP source (others)	nGDP year (others)	GDP-PPP/capita (GEA) [USD/year]	GDP-PPP/capita (UITP) [USD/year]	GDP-PPP/capita (WB) [USD/year]	Total final consumption per capita (GEA) [GJ/capita/yr]	Energy per capita CO2 (WB) [tCO2-eq/capita/yr]	Diesel price (GEA+) [USD/liter]	Gasoline price (GEA+) [USD/liter]	Center of commerce index (GEA+) [dimensionless]	Household size (GEA+) [people/household]	Household size year (GEA+)	Household source (GEA+)	Household size comment (GEA+)	Urbanization ratio (GEA+) [percent]	Water bounded (GEA+)	Other bounded (GEA+)	Mean one-way travel time (others) [minutes]	Mean one-way travel time year (others)	Mean one-way travel time source (others)	Diesel price 2014 (others) [USD/liter]	Gasoline price 2014 (others) [USD/liter]	Household size (others) [people/household]	Household size year (others)	Household size source (others)	Household size comment (others)	Congestion rank (INRIX) [dimensionless]	Peak hours spent in congestion (INRIX) [hours]	INRIX congestion index (INRIX) [dimensionless]	Average congestion rate (INRIX) [percent]	Congestion rank (TomTom) [dimensionless]	Congestion level (TomTom) [× 100 percent]	Congestion change (TomTom) [× 100 percent]	Morning peak (TomTom) [percent]	Evening peak (TomTom) [percent]	Economy (IESE) [dimensionless]	Environment (IESE) [dimensionless]	Governance (IESE) [dimensionless]	Human capital (IESE) [dimensionless]	International impact (IESE) [dimensionless]	Mobility and transportation (IESE) [dimensionless]	Public management (IESE) [dimensionless]	Social cohesion (IESE) [dimensionless]	Technology (IESE) [dimensionless]	Urban planning (IESE) [dimensionless]	CIMI (IESE) [dimensionless]	CIMI ranking (IESE) [dimensionless]	CIMI performance (IESE) [dimensionless]	Urban area name (UEX)	Low BUA - 1990 (UEX) [km2]	Low BUA - 2000 (UEX) [km2]	Low BUA - 2014 (UEX) [km2]	High BUA - 1990 (UEX) [km2]	High BUA - 2000 (UEX) [km2]	High BUA - 2014 (UEX) [km2]	Low BUA % - 1990 (UEX) [percent]	Low BUA % - 2000 (UEX) [percent]	Low BUA % - 2014 (UEX) [percent]	High BUA % - 1990 (UEX) [percent]	High BUA % - 2000 (UEX) [percent]	High BUA % - 2014 (UEX) [percent]	Low BUA population density - 1990 (UEX) [people/km2]	High BUA population density - 1990 (UEX) [people/km2]	Low BUA population density - 2000 (UEX) [people/km2]	High BUA population density - 2000 (UEX) [people/km2]	Low BUA population density - 2014 (UEX) [people/km2]	High BUA population density - 2014 (UEX) [people/km2]	Exports (others) [m3]	Production (others) [m3]	Natgas Export/Production ratio (others)	CH4_waste/capita (others) [tCH4/capita]	CH4_waste+natgas/capita (others) [tCH4/capita]	Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita]	Year from CIA (others)	AQF (CDP/GEA)	AQF (CDP/WB)	AQF (CDP/OTHERS)	AQF (PKU/GEA)	AQF (PKU/WB)	AQF (PKU/OTHERS)	PQF (CDP)	PQF (carbonn)	PQF (WB)	PQF (WB2010)	PQF (OTHERS)	HQF (GEA+)	HQF (OTHERS)	MethodNum	MethodColour	nGDP category	s1 per cap	S1 per capita
51	Buffalo City		Buffalo City Metropolitan Municipality		Buffalo City 				Independent municipality				2592942.0	carbonn	tCO2-eq	2007.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)																		-32.9833	27.8667	carbonn	South Africa	Africa			797556.0	2011.0		702671.0				755200.0	2011.0	Wikipedia						1.0		2536.0			2536.0	2011.0	Wikipedia	304.0			13953.3152195				FAEL	117.0	219.0	242	64					3323260000.0	3888370113.32	USD	2013.0											5490.4356731			26.0		0.95	0.87		2.33	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	metro area	59.256	1.0					1.17	1.19	3.4	2007	http://www.statssa.gov.za/publications/Report-03-01-32/Report-03-01-322007.pdf																								Buffalo City Urban Area	52.75	56.75	55.5625	66.0625	80.4375	94.25	0.443976854287	0.413667425968	0.370880267	0.556023145713	0.586332574032	0.629119733	1560.32549499	1360.69208035	650.230536581	3187.86097709	318.029185623	3249.46955762															1.0			1.0	1.0	1.0	1	#75766D		3.43345074153	3.43345074153
52	Burlington	City of Burlington						Administrative boundary of a local government				2016.0	368077.0	CDP	tCO2	2010.0	International Emissions Analysis Protocol (ICLEI)	CO2	The City of Burlington collects emissions data in an Excel-based GHG Inventory Modeling Workbook developed and populated with the help of an environmental consultant.  Electricity data comes from the Burlington Electric Department. Natural gas data is provided by Vermont Gas. To generate transportation data, staff input miles per functional class and average annual daily traffic into CACP Transport Assistant Tool to obtain vehicle miles traveled by functional class and total emissions. The calculation of the community solid waste adds the total CSWD municipal solid waste and construction and demolition debris, then multiplied it by the Burlington population over the CSWD population.	Decreased	"Burlington continues to ""green"" its energy mix. With cleaner sources of energy supplying electricity to the grid, fewer emissions are being released."	37305.0	405385.3		A							0.999991859596		(44.4758825, -73.212072)	44.476	-73.211944	https://en.wikipedia.org/wiki/Burlington,_Vermont	USA	North America	42284.0	2015.0								42260.0	2016.0	https://www.census.gov/quickfacts/fact/table/burlingtoncityvermont/PST045216							40.1				26.7027969	2010.0	https://www.census.gov/quickfacts/fact/table/burlingtoncityvermont/PST045216						61.0	7.7				1425	34	12700000.0	USD     US Dollar	2014.0	Bureau of Economic Analysis										2008.0	5.158		"[20]
This number is for Burlington, NC"																	17.8	(2011-2015) 		0.97	0.86	2.2	2011-2015	https://www.census.gov/quickfacts/fact/table/burlingtoncityvermont/PST045216																								City of Burlington Urban Area	57.4375	60.625	62.9375	47.1875	51.1875	54.0	0.548984468339	0.54220234768	0.538214858365	0.451015531661	0.45779765232	0.461785141635	411.47506336	1721.58760588	386.802919328	1351.90477661	395.896381246	1407.73018022	42870000000.0	7.662e+11	0.06	0.0176989817	0.0367294791	0.0356646952				1.0				0.0				0.0		1.0	4	#FFC7AF	1.0	8.70982016091	8.70982016091
53	Calgary	City of Calgary				Calgary	Calgary 	Administrative boundary of a local government		City 	2003.0	2016.0	10448332.0	CDP	tCO2-eq	2015.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	This is the first year using this protocol. The inventory was completed to a BASIC level.	Decreased	The community emissions decreased in 2015. This is likely due to a warm winter season as well as slower economic conditions in the city.	7758900.0	18207232.0		A	7970890.51987	8868684.4757	8419787.49779	15729790.5199	16627584.4757	16178687.4978	1.0		(51.048615, -114.070846)	51.05	-114.066667	https://en.wikipedia.org/wiki/Calgary	Canada	North America	1203915.0	2015.0					767059.0	922315.0	2003.0	1239220.0	2016.0	https://en.wikipedia.org/wiki/Calgary#cite_note-2016censusABmunis-5	132000.0	738000.0	1191000.0	1.03734280056	1.02421886306	1.0	848.0		825.29		825.56	2016.0	https://en.wikipedia.org/wiki/Calgary#cite_note-2016censusABmunis-5		2084.0	1117.56473482		32105.2444064	1084.0	4.1	CYYC			1793	0	93000000000.0	CAD     Canadian Dollar	2015.0	http://www.calgary.ca/CA/fs/Documents/Corporate-Economics/Calgary-and-Region-Economic-Outlook/Calgary-and-Region-Economic-Outlook-2015-Spring.pdf							97.882	69826.0	[1]	2014.0	78.0	62751.4078842	[19]			23982.62			17.3	0.9	0.76		2.6	2006.0	http://www12.statcan.gc.ca/census-recensement/2006/dp-pd/tbt/Rp-eng.cfm?TABID=1&LANG=E&APATH=3&DETAIL=0&DIM=0&FL=A&FREE=0&GC=001&GID=763424&GK=10&GRP=1&PID=89047&PRID=0&PTYPE=88971,97154&S=0&SHOWALL=0&SUB=0&Temporal=2006&THEME=69&VID=0&VNAMEE=&VNAMEF=&D1=		80.122	0.0		27.0	2011	2011 census, Table 2 in http://www12.statcan.gc.ca/nhs-enm/2011/as-sa/99-012-x/99-012-x2011003_1-eng.pdf	1.16	1.17	3.0	2011	Average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=4806016&Data=Count&SearchText=Calgary&SearchType=Begins&SearchPR=01&A1=Housing&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]		481.0	16.0	2.8	4.6%	137	0.2	0.01	28%	39%														City of Calgary Urban Area	120.1875	138.0	176.9375	264.375	310.1875	361.5	0.31253047294	0.307906847023	0.328612884504	0.68746952706	0.692093152977	0.671387115496	434.948175596	1626.38302547	931.550033357	2239.01044888	818.500980209	3090.88238334	77960000000.0	1.515e+11	0.51	0.046860437	0.1017275144	0.0734936045			1.0	1.0				1.0		0.0	0.0	1.0	1.0	1.0	1	#75766D	2.0	6.79442512047	8.43137780217
54	Canberra	Canberra						Administrative boundary of a local government				2016.0	1757500.0	CDP	tCO2-eq	2015.0	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2; CH4; N2O; HFCs; SF6	The ACT Government receives disaggregated national data each year from the Australian Government which is consistent with the IPCC guidelines. However, the ACT Government is required to record its own electricity, gas and transport data as this is not provided by the national government at the ACT scale.	Increased	The ACT emissions have increased by 4.6% since the last inventory. This is largely due to two external factors. The first is the National repeal of the carbon price, which saw a higher percentage of supplied energy come from fossil fuels, increasing the emissions factor for the electricity grid despite the ACT’s own renewable energy coming online. The second was a below average minimum winter temperatures which are linked to more days requiring heating for households. The slight increase in demand for electricity, coupled with the increased emission factor saw a spike in emissions from the electricity sector compared to last year.	2246400.0	4003900.0		A	1380253.94256	1446214.24592	1413234.09424	3626653.94256	3692614.24592	3659634.09424	1.0		(-35.3075, 149.1244)	-35.307	149.124417	https://en.wikipedia.org/wiki/Canberra	Australia	Oceania	400000.0	2016.0								381488.0	2013.0	https://en.wikipedia.org/wiki/Canberra#cite_note-ABSERP13-1; https://en.wikipedia.org/wiki/Canberra#cite_note-3218-0-2							2358.0				814.2	2009.0	https://en.wikipedia.org/wiki/Canberra#cite_note-area-4						578.0	13.5				1484	30	34866000000.0	AUD     Australian Dollar	2015.0	ABS, 2015										2008.0																				22.0	2014-2017	https://www.numbeo.com/traffic/in/Canberra [BASED ON 31 CONTRIBUTORS]	1.28	1.23	2.6	2011	http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/8001?opendocument&navpos=220						- 	0.2	0.03	38%	32%														Canberra Urban Area	57.125	58.125	59.0625	136.6875	141.6875	147.25	0.294743631087	0.290897716609	0.286276885792	0.705256368913	0.709102283391	0.713723114208	188.620329938	1630.63799776	106.91165987	1343.59591483	87.7835830295	1636.42460074	31610000000.0	62640000000.0	0.5	0.0277933709	0.039682077	0.0336826837				0.0				1.0				1.0		1.0	3	#DCCDA1		3.7045309269	4.60696011408
55	Cape Town	City of Cape Town			Cape Town	Cape Town	Cape Town 	Administrative boundary of a local government		City 	2006.0	2016.0	9783734.0	CDP	tCO2-eq	2012.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O	During 2014 the City updated its energy profile and released a State of Energy Report in 2015 (based on 2012 data year). All data provided in this CDP submission is based on this report. The process includes: A baseline data collection was collected from the following 5 sectors. Residential Sector: disaggregated according to electrified and non-electrified by income category.  Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities. Industrial Sector: disaggregated  into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities. Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet. Transport Sector: disaggregated into freight, private vehicle and public transport (bus,minibus taxi and train). The City's GHG account/inventory for its most recent State of Energy Report (Report released in 2015 based on 2012 data year) is based on the Global Protocol for Community-Scale Greenhouse Gas Emissions Reporting Draft v2 (GPC). Emissions factors draw on those of the IPCC (web based and regularly updated) for South Africa, as well as Eskom for local electricity emissions factors. In the Cape Town GPC summary table provided, Scope 1 includes all emissions that physically take place within the Cape Town area. This includes liquid fuels consumed and coal. Even if that liquid fuel is moved out of the area, it is still accounted for as per point of sale. This scope includes the emissions from Ankerlig and Acacia power stations (Energy supplied to the grid - territorial); but these are removed in the final balance for Cape Town as per protocol (this is accounted for within national electricity production accounts of Eskom). Scope 2 includes emissions from electricity produced elsewhere in the country, but consumed in Cape Town. This column accounts for the majority of these emissions, but a small portion are recorded in Scope 3, reflecting that component of the emissions factor that relates to Transmission and distribution (i.e. from power station to municipal boundary; and amounting to 0.04 of the 1.03 emissions factor). Also included within the category energy industries is the municipal distribution losses.	Decreased	The City of Cape Town does not update its emissions inventory annually, but rather in a process linked to the update of its entire energy profile, which takes place every 4-5 years. In comparison to its last full inventory data (2007), Cape Town's emissions have decreased due to an increase in electricity efficiency between the reporting years  (2007 and 2012).	12860112.0	22643846.0		A	8251794.88163	8441695.50362	8346745.19263	21111906.8816	21301807.5036	21206857.1926	1.0		(-33.9253, 18.4239)	-33.925	18.423889	https://en.wikipedia.org/wiki/Cape_Town	South Africa	Africa	3918830.0	2014.0				3069404.0	2900000.0	3497097.0	2006.0	3840000.0	2016.0	http://www.c40.org/cities/cape-town	618000.0	2155000.0	3492000.0	1.02928291181	1.02442778249	1.0	2461.0	2454.72	2454.72		2461.0	2016.0	http://www.c40.org/cities/cape-town	1250.40900795	7106.0	1424.64191435	61951.6780293	70584.0701912		16.6	FACT	131.0	461.0	520	27	2467976.0	USD     US Dollar	2014.0	Economic Performance Indicators for Cape Town							58.863	14086.0	[1]	2014.0	38.0	10882.0160367	[19]		12320.4589802	4242.73	12320.4589802	44.0	6.0	0.95	0.87		3.4	2008.0	https://www.statssa.gov.za/Publications/P0318/P0318April2012.pdf	From tables on page five, total population / total households	59.256	1.0		45.31	2014-2017	https://www.numbeo.com/traffic/in/Cape-Town [BASED ON 74 CONTRIBUTORS]	1.17	1.19	3.4	2008	https://www.statssa.gov.za/Publications/P0318/P0318April2012.pdf	From tables on page five, total population / total households	33.0	49.0	8.0	12.7%	48	0.35	0.05	75%	67%	163.0	145.0	71.0	144.0	94.0	135.0	40.0	159.0	90.0	139.0	50.38	133.0	M	City of Cape Town Urban Area	221.5	227.9375	238.5625	782.375	838.625	899.875	0.220645000623	0.21371227659	0.209552566566	0.779354999377	0.78628772341	0.790447433434	254.639600294	1362.07379929	180.176031705	3159.66555414	80.4396546697	4251.52379323	0.0	1.0	0.0	0.0122306776	0.0139613383	0.0139613383		1.0	1.0	1.0				1.0		0.0	1.0	1.0	1.0	1.0	1	#75766D	1.0	2.17363156058	2.54784739583
56	Caracas	Alcaldía Metropolitana de Caracas						A metropolitan area				2016.0	14364103.0	CDP	tCO2-eq	2015.0	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2; CH4; N2O	We used only one methodology: the 2006 IPCC Guidelines for National Greenhouse Gas Inventory. Data was collected or estimated from official sources.	Increased	Emissions have increased slightly mainly due to the increase electricity consumption and waste generation due to population growth. Emissions from the transport sector practically have not increased, reflecting the limited increase of the automotive park in 2015.	3410672.0	17774776.0		A	9921330.84008	13479068.8047	11700199.8224	13332003.8401	16889741.8047	15110872.8224	0.999999943741		(10.4696404, -66.8037185)	10.481	-66.903611	https://en.wikipedia.org/wiki/Caracas	Venezuela	Latin America & Caribbean	3518590.0	2015.0								5290000.0	2016.0	http://www.c40.org/cities/caracas, correponds to Metropolitan Region of Caracas (https://en.wikipedia.org/wiki/Metropolitan_Region_of_Caracas)							776.0				4715.1		https://en.wikipedia.org/wiki/Metropolitan_Region_of_Caracas						950.0	25.0				0	1785	54000000000.0		2015.0	Estimated from Venezuelan Central Bank figures							51.804	15890.0	[1]	2014.0	69.0	14194.6101625	[19]																	49.5	2013-2016	time index (defined as 'average one way time needed to transport, in minutes'); https://www.numbeo.com/traffic/in/Caracas [BASED ON 16 CONTRIBUTORS]	0.008	0.015					13.0	63.0	11.8	21.1%						180.0	136.0	174.0	119.0	164.0	112.0	30.0	173.0	178.0	114.0	38.03	173.0	B	Alcaldía Metropolitana de Caracas Urban Area	170.375	184.75	193.625	250.625	261.6875	270.125	0.404691211401	0.413831723366	0.417520215633	0.595308788599	0.586168276634	0.582479784367	214.441905209	1213.35510558	830.885061075	5169.0246873	1910.19282046	23135.4031225	0.0	1.0	0.0	0.0089832473	0.0450948915	0.0450948915				0.0				1.0				1.0			3	#DCCDA1	2.0	2.21175800045	2.71533137996
58	Cascais	Cascais						Administrative boundary of a local government				2016.0	565382.0	CDP	tCO2	2010.0	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2	this was made with calculous platforms from international organizations such as UN (IPCC, and ICLEI) as well as EU comission	Decreased	We have verified a decrease in fuel consumption between the mentioned time period.	266221.0	831603.0	CDP2016 TOT recalculated by summing both CDP2016 scopes.	A							1.0		(38.6970565, -9.4222945)	38.7	-9.416667	https://en.wikipedia.org/wiki/Cascais	Portugal	Europe	208122.0	2014.0								206479.0	2011.0	https://en.wikipedia.org/wiki/Cascais							97.0				97.4		https://en.wikipedia.org/wiki/Cascais							17.0				464	73			2014.0											2008.0																				30.0861860672	2011	Statistics Portugal, Population and housing census – 2001; https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&indOcorrCod=0000685&selTab=tab0&xlang=en	1.64	1.89																											see: Lisbon Urban Area																			0.0	1.0	0.0	0.0311275785	0.0361368851	0.0361368851				1.0				1.0				1.0			3	#DCCDA1		2.73820582238	2.73820582238
59	Changchun			Changchun	Changchun								5029058.46744	PKU	tCO2	2010.0	Statistical																1.18104		43.8869444444	125.324722222	wikipedia	China	East Asia					4258161.0	7392600.0				4193073.0		wikipedia, urban values						1.0		20532.0		461.1	4738.0		(urban), from wikipedia	360.052600818			51591.9068925				ZYCC	158.0	4305.0	4243	92									23639084.0	38863.14	0.00118104		[1]	2014.0	35.0	8955.9877175	[19]		6827.10079148			68.7047344365		1.01	0.99		3.29	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Jilin"""	42.522	0.0					1.09	1.17									45	0.36	0.03	64%	72%														Changchun Urban Area	272.3125	297.5	300.375	399.25	488.0	673.9375	0.405490926012	0.37873965627	0.30829431009	0.594509073988	0.62126034373	0.69170568991	510.456995031	7653.07651361	338.88680281	6779.08492498	231.632380668	5403.28182895											0.0		0.0						1.0		6	#F7D76F	1.0	1.19937298193	1.18104
60	Changsha, Hunan			Changsha	Changsha, Hunan								3955711.94	PKU	tCO2	2010.0	Statistical																0.83		28.1961111111	112.972222222	wikipedia	China	East Asia					4765918.0	6310000.0				5288800.0		wikipedia, urban values						1.0		11819.0		433.3	1917.0		(urban), from wikipedia	533.886115577			58041.5488188				ZGHA	698.0	1100.0	1082	545									26277475.0	40156.9	0.00083		[1]	2014.0	40.3	13025.210084	[3], [19]		8263.77114129			59.6127299301		1.01	0.99		3.44	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Hunan"""	42.522	0.0	Mountains, River				1.09	1.17									11	0.45	0.08	70%	82%														Changsha Urban Area	355.9375	430.5	520.4375	307.0625	390.0625	563.75	0.536858974359	0.524640109681	0.480025364616	0.463141025641	0.475359890319	0.519974635384	1294.58280661	10434.6188655	2485.96390405	11252.8506042	1557.90768201	9601.80255776											0.0		0.0						1.0		6	#F7D76F	1.0	0.747941298593	0.83
61	Changzhou			Changzhou									4131838.87752	PKU	tCO2	2010.0	Statistical																1.4242956244		31.7833333333	119.966666667	wikipedia	China	East Asia					2900970.0					3290918.0		wikipedia, urban values										329.5	1872.1		(urban), from wikipedia											1336	444									23162600.0	47798.85	0.0014242956244		[1]	2014.0	34.0	10331.2063203	[19]																				1.09	1.17																											see: Shanghai Urban Area																															0.0								6	#F7D76F	1.0	1.25552775168	1.4242956244
62	Chengdou			Chengdou									9975976.2	PKU	tCO2	2010.0	Statistical																1.08		30.6586111111	104.064722222	wikipedia	China	East Asia					9237015.0					10152632.0		wikipedia, urban values										783.0	3679.9		(urban), from wikipedia											1143	249									39324694.0	40023.38	0.00108		[1]	2014.0	57.8	7528.98267552	[3], [19]																				1.09	1.17																											Chengdou Urban Area	656.125	657.3125	691.3125	891.875	1018.5	1142.5	0.423853359173	0.392235109835	0.376981016325	0.576146640827	0.607764890165	0.623018983675	996.56738214	7909.3444991	1266.39946109	7362.38898682	1209.24160807	9135.58297079													0.0								6	#F7D76F	2.0	0.982599999685	1.08
63	Chicago	City of Chicago				Chicago		Administrative boundary of a local government				2017.0	16951471.0	CDP	tCO2-eq	2015.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O		Decreased	Chicago conducted a preliminary comparison using the existing 2010 and 2015 data to evaluate how community emissions have changed over the last five years. Results of this preliminary analysis of 2010 and 2015 GHG emissions reveals Chicago continued to reduce total GHG emissions through 2015 in the stationary and waste sectors resulting in a greater than 7 percent reduction in GHG emissions over the last five years. During that time, Chicago’s population grew by approximately 1 percent while the region’s GRP grew by more than 12 percent. Growth coupled with reduction in total emissions resulted in a greater than 8 percent decrease in per capita emissions in the City. Between 2010 and 2015, the majority of MT CO2e reductions occurred in the stationary energy sector, followed by waste. When considering percent reductions, the waste sector experienced the greatest reduction (30 percent) which included a 35 percent emissions reduction in the solid waste disposal sub-sector. This reduction in the solid waste sector is likely driven by a decrease in the total amount of solid waste sent to landfills and an improvement in the solid waste treatment technologies at those landfills. The City expanded its residential curbside recycling pilot program to now serve over 400,000, or approximately 33 percent, of additional City houeholds.Because of the program’s expansion the City experienced a significant increase in the number of tons collected for recycling, from 58,000 in 2010 to 97,000 in 2015. The stationary energy sector overall saw a 10 percent drop in emissions, including 11, 12 and 8 percent emissions reductions in the residential, commercial and institutional buildings and facilities, and manufacturing industries and construction sub-sectors, respectively. Stationary energy sector GHG emissions reductions are likely driven by a general trend in the building industry to improve energy efficiency of buildings as well as a regional shift in energy generation towards renewable energy sources. The City has also implemented the Energy Benchmarking Ordinance, Retrofit Chicago, and the Chicago Solar Express to encourage increasing energy efficiency and renewable energy generation and consumption within the city.	12967223.0	29918694.0	Replaced by CDP2017 data. Reason: Both scopes missing (Case 4b) in CDP2016. Soln: Updated with CDP2017 values that contain at least one scope	B	14234702.5717	15603245.9717	14918974.2717	27201925.5717	28570468.9717	27886197.2717	1.0		(41.8781136, -87.6297982)	41.837	-87.684722	https://en.wikipedia.org/wiki/Chicago	USA	North America	2720546.0	2015.0					7523328.0			2704958.0	2016.0	https://www.census.gov/quickfacts/fact/table/chicagocityillinois/PST045216						1.0	606.0				589.5594237	2010.0	https://www.census.gov/quickfacts/fact/table/chicagocityillinois/PST045216		1681.0				181.0	9.4	KMDW			1889	34	5.63188e+11		2014.0	Brookings Institution							563.188	58861.0	[1]	2014.0	496.4	52351.8245096	[3], [19]			32109.75				0.78	0.56	65.24	2.68	2010	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	metro area	80.731	1.0		30.95	2013	TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf)	0.97	0.86	2.57	2011-2015	https://www.census.gov/quickfacts/fact/table/chicagocityillinois/PST045216		19.0	57.0	10.1	10.2%	108	0.26	0.0	36%	57%	8.0	118.0	7.0	8.0	44.0	16.0	11.0	121.0	10.0	35.0	82.55	12.0	RA	Chicago Urban Area	2086.875	2083.3125	2004.25	4445.8125	5046.0	5679.4375	0.319451221262	0.292217868132	0.260844809214	0.680548778738	0.707782131868	0.739155190786	394.915692365	809.464535811	144.86336544	1643.32331312	94.1923180913	1554.94651441	42870000000.0	7.662e+11	0.06	0.0176989817	0.0367294791	0.0356646952				1.0				1.0				1.0	1.0	1.0	1	#75766D	5.0	5.51541808475	6.26681486367
64	Chongqing			Chongqing	Chongqing								9485242.8	PKU	tCO2	2010.0	Statistical																0.88		29.5583333333	106.566666667	wikipedia	China	East Asia					10778685.0	6362501.0				8165500.0		wikipedia, urban values						1.0				452.3	472.8		(urban), from wikipedia	3145.0							ZUCK	543.0	885.0	1016	400									58506100.0	37288.31	0.00088		[1]	2014.0	88.6	5645.82935067	[3], [19]		5500.98145368			144.35516106		1.01	0.99	33.13	3.35	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf		42.522	0.0	River				1.09	1.17									4	0.52	0.14	90%	94%	143.0	176.0	109.0	162.0	81.0	119.0	174.0	143.0	56.0	93.0	44.33	157.0	B	Chongqing Urban Area	374.5625	415.9375	412.1875	421.6875	474.125	730.9375	0.470408163265	0.467312688716	0.360579551668	0.529591836735	0.532687311284	0.639420448332	834.318634607	6044.5585117	1407.1849647	12715.3274414	640.508430258	7714.27871546													1.0						1.0		6	#F7D76F	2.0	1.16162424836	0.88
