	city	country	Boundary (CDP)	City Location (CDP)	lat (external)	lon (external)	Geographic group	Current Population (CDP)	pop (external)	quality flag population	area [km2] (external)	pop density (calculated from external sources)	Average annual temperature (in Celsius) (CDP)	Average altitude (m) (CDP)	mean TT [min]	CDD_23C	HDD_15.5C	CDD_23C (FMB)	HDD_15.5C (FMB)	Reporting Year (CDP)	Measurement Year (CDP)	Measurement year only (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	Gases included (CDP)	scope fraction (CDP)	TOT lower bd [tCO2]	TOT upper bd [tCO2]	TOT mean [tCO2]	S1 lower bd [tCO2]	S1 upper bd [tCO2]	S1 mean [tCO2]	S1 mean [tCO2]/cap	Scope 1 (orig)/cap	Primary Methodology (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Urban Area Cluster (FC)	Low BUA 1990 (FC)	Low BUA 2000 (FC)	Low BUA 2014 (FC)	High BUA 1990 (FC)	High BUA 2000 (FC)	High BUA 2014 (FC)	Low BUA % 1990 (FC)	Low BUA % 2000 (FC)	Low BUA % 2014 (FC)	High BUA % 1990 (FC)	High BUA % 2000 (FC)	High BUA % 2014 (FC)	Low BUA pop density 1990 (FC)	High BUA pop density 1990 (FC)	Low BUA pop density 2000 (FC)	High BUA pop density 2000 (FC)	Low BUA pop density 2014 (FC)	High BUA pop density 2014 (FC)	diesel_price (2014)	gasoline_price (2014)	household_size (updated)	year_household_size (updated)	AVERAGE CONGESTION RATE (INRIX)	INRIX CONGESTION INDEX (INRIX)	PEAK HOURS SPENT IN CONGESTION (INRIX)	RANK (INRIX)	Congestion Level (TomTom)	World Rank (TomTom)	Congestion change (TomTom)	Morning Peak (TomTom)	Evening Peak (TomTom)	human capital (IESE)	social cohesion (IESE)	economy (IESE)	public management (IESE)	governance (IESE)	environment (IESE)	mobility and transportation (IESE)	urban planning (IESE)	international impact (IESE)	technology (IESE)	CIMI (IESE)	CIMI Ranking (IESE)	CIMI Performance (IESE)	GDP-PPP combined	GDP-PPP combined/cap	s1 to use	pop to use	s1 per capita	LB S1 per capita	UB S1 per capita	s1 per gdp	LB S1 per gdp	UB S1 per gdp	MethodNum	s1 per gdp [kgCO2/USD]	GDP-PPP combined [USD]
42	Cleveland	USA	Administrative boundary of a local government	(41.49932, -81.6943605)	41.482	278.33	groupUSA	396815.0	385809	1.0	201.242223	1917.1374389	10.4	199.0	24.2			114	1483	2016	2010-12-31 00:00:00	2010	11889595.0	7750563.0	4139032.0		Grade A	CO2; CH4; N2O	1.0	11493330.9913	11692944.8001	11593137.8957	7354298.99128	7553912.80015	7454105.89571	18.78483902	19.5319304966	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	"This inventory was assembled through the collection and analysis of data with City of Cleveland staff as well as other city stakeholders such as utilities, regional coordinating agencies, local organizations and large emitters. Associated GHG emissions for all activities were calculated using an approach consistent with the International Council for Local Environmental Initiatives (ICLEI) - U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI) as the main guiding document, with methodologies from The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA) also referenced. 

Tools - Inventory Management System:
Most of the calculations used to develop this inventory were carried out in an Information Management System (IMS), a Microsoft Excel-based spreadsheet that collects into one tool the original data, methodology applied, emission factors selected and a summary of GHG emission results. The IMS also provides charting, forecasting and benchmarking capabilities"	First year of calculation	2010 Baseline Inventory that’s being reported is our 1st comprehensive GHG inventory. The GHG inventory will likely be updated in 2016, using 2015 data.	Cleveland Urban Area Cluster	357.5625	358.1875	349.4375	936.9375	1027.0625	1080.375	0.276216685979	0.256031093638	0.244393932771	0.723783314021	0.73414045747	0.755606067229	384.698061228	1652.49088893	272.171142588	1502.18316518	208.86292066	1288.49656526	0.97	0.86	2.26	2011-2015	4.5%	3.1	19.0	405.0	0.12	183	0.01	18%	27%														115.142	55876.0	7454105.89571	396815.0	18.78483902	18.533319031	19.036359009	64738.3743179	63871.5585215	65605.1901144	2	0.0647383743179	1.15142e+11
43	Columbus	USA	Administrative boundary of a local government	(39.9611755, -82.9987942)	39.983	277.017	groupUSA	835957.0	860090	1.0	562.4681283	1529.13553093	11.6	275.0	21.4			48	627	2016	2015-12-31 00:00:00	2015	10983600.0	5487400.0	5496200.0		Grade A	CO2; CH4; N2O	1.0	10148803.7551	10569323.5459	10359063.6505	4652603.75505	5073123.54594	4862863.6505	5.81712175446	6.56421323106	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Basic Reporting.	Decreased	Greenhouse gas emissions increased 5% since our baseline emission inventory of 2013, but decreased since the 2014 inventory by 4%.	Columbus Urban Area Cluster	403.25	419.625	407.0625	618.3125	808.0625	939.875	0.394738452126	0.329117647059	0.302213354369	0.605261547874	0.633774509804	0.697786645631	486.355457991	1231.85079268	325.522337088	1288.14601152	244.600118901	1401.51461915	0.97	0.86	2.4	2011-2015	5.7%	3.6	22.0	318.0	0.16	164	0.01	26%	45%														108.904	54780.0	4862863.6505	835957.0	5.81712175447	5.56560176546	6.06864174346	44652.7551835	42722.0648925	46583.4454744	1	0.0446527551835	1.08904e+11
45	Curitiba	Brazil	Administrative boundary of a local government	(-25.431063, -49.264693)	-25.417	310.75	groupLatinAmer	1751907.0	1750000	1.0	434.0	4032.25806452	18.0	935.0	32.1	146.0	407.0	3	0	2016	2013-12-31 00:00:00	2013	3036279.0	2686488.0	349791.0		Grade A	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3	1.0	2213219.402	2294574.84679	2253897.12439	1863428.402	1944783.84679	1904106.12439	1.08687625793	1.53346496133	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Developed in partnership with ICLEI/URBAN LEDS Project	Increased	The main difference on the increase of  GEE emissions is on the energy sector not by an increase of consumption but because of an increse on emission factors due to the use o thermoelectric plants. In 2012 the annual national average emission factor was 0,0653 T/CO 2e by MWh produced, while in 2013 the factor increased by 30% to 0,0963 T/CO2e by MWh produced .	Curitiba Urban Area Cluster	263.25	268.1875	273.125	561.1875	578.375	600.0	0.319308619513	0.315537907199	0.312813171081	0.680691380487	0.680491212589	0.687186828919	338.641073509	3578.34262828	373.282830939	4174.21967625	392.374180348	4880.17174013	1.02	1.27	3.02735375474	2010	15.1%	7.0	33.0	129.0	0.2	144	0.02	28%	43%	91.0	124.0	170.0	72.0	96.0	124.0	133.0	123.0	115.0	117.0	50.76	131.0	M	57.654	16980.0	1904106.12439	1751907.0	1.08687625792	1.06365714733	1.11009536853	33026.4357094	32320.8867034	33731.9847155	1	0.0330264357094	57654000000.0
47	Davis, CA	USA	Administrative boundary of a local government	(38.544907, -121.740517)	38.554	238.262	groupUSA	65600.0	68111	1.0	25.6150011	2659.02779914	23.0	15.0	21.4			126	310	2016	2010-01-01 00:00:00	2010	348437.0	348437.0		CDP2016 TOT likely wrong because one scope is missing.	Grade D	CO2; CH4; N2O; HFCs		282928.087857	315927.510413	299427.799135	282928.087857	315927.510413	299427.799135	4.56444815755	5.31153963415	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	The City updated the inventory in 2012 using the latest available data from 2010.	Decreased	Lower carbon emission electricity energy mix (grid).	Davis, CA Urban Area Cluster	17.5	16.9375	19.8125	24.125	30.1875	34.1875	0.42042042042	0.349226804124	0.366898148148	0.57957957958	0.622422680412	0.633101851852	434.995152892	1751.74784171	131.844007582	1985.32037788	105.389614454	2270.50061822	0.97	0.86	2.64	2011-2015	7.9%	4.1	21.0	364.0																					299427.799135	65600.0	4.56444815755	4.31292816855	4.81596814654				2		
48	Denver	USA	Administrative boundary of a local government	(39.737567, -104.9847179)	39.762	255.119	groupUSA	663862.0	693060	1.0	396.26847	1748.96579584	10.1	1609.0	24.8	247.0	2446.0	48	627	2016	2014-12-31 00:00:00	2014	8942000.0	4557000.0	4385000.0		Grade A	CO2; CH4; N2O	1.0	8279059.79522	8613008.9211	8446034.35816	3894059.79522	4228008.9211	4061034.35816	6.1172869635	6.8643784401	Other	"The methodology is explained in more detail in the peer-reviewed  journal paper ""A Demand-Centered, Hybrid Life-Cycle Methodology for City-Scale Greenhouse Gas Inventories"" located at http://pubs.acs.org/doi/abs/10.1021/es702992q ."	Decreased	Denver saw a slight decrease over 2013 emissions, primarily due to reductions in the built environment.  Although Denver is currently undergoing a construction boom,our sole utilities electricity emission factor has fallen as a result of increased renewables and power plant switches away from coal and on to natural gas.	Denver Urban Area Cluster	334.4375	339.875	338.75	953.5	1076.5625	1161.9375	0.259669044499	0.233892473118	0.225729873808	0.740330955501	0.740860215054	0.774270126192	471.830488602	1522.08799583	366.380143587	1707.40219916	327.317725779	2010.02349111	0.97	0.86	2.3	2011-2015	8.3%	6.4	36.0	107.0	0.2	136	-0.01	33%	44%														169.737	61795.0	4061034.35816	663862.0	6.1172869635	5.86576697449	6.3688069525	23925.4514818	22941.7262896	24909.1766739	5	0.0239254514818	1.69737e+11
49	Detroit	USA	Administrative boundary of a local government	(42.331427, -83.0457538)	42.331	276.954	groupUSA	688701.0	672795	1.0	359.3611125	1872.19756562	9.0	192.0	26.8			34	1889	2016	2012-12-31 00:00:00	2012	10329322.0	5520240.0	4809082.0	S1 derived from TOT - S2 in CDP2016 dataset	Grade B	CO2; CH4; N2O	1.0	9641577.28503	9988021.42092	9814799.35297	4832495.28503	5178939.42092	5005717.35297	7.26834628231	8.01543775891	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		Stayed the same	This is the only inventory we have done.  The data has not been updated	Detroit Urban Area Cluster	957.4375	974.9375	987.375	2355.0625	2626.8125	2741.9375	0.289037735849	0.268526966311	0.264760595954	0.710962264151	0.723502780121	0.735239404046	453.743373474	1626.89011661	295.231571954	1510.03851556	230.466570553	1355.4336146	0.97	0.86	2.65	2011-2015	6.1%	5.9	33.0	128.0	0.16	169	0.01	23%	41%														207.538	48421.0	5005717.35297	688701.0	7.26834628231	7.01682629331	7.51986627131	24119.5219814	23284.8696867	24954.1742761	2	0.0241195219814	2.07538e+11
50	DC	USA	Administrative boundary of a local government	(38.9071923, -77.0368707)	38.905	282.984	groupUSA	672228.0	681170	1.0	158.1188895	4307.960941	14.7		29.7			73	464	2016	2013-12-31 00:00:00	2013	7386407.0	3132786.0	4253621.0		Grade A	CO2; CH4; N2O	1.0	6715112.4117	7053269.97003	6884191.19087	2461491.4117	2799648.97003	2630570.19087	3.91321127782	4.66030275442	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Emissions reported here are based on the GPC. Previous inventories, and the District's baseline were calculated using the U.S. community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	Increased	Emissions increased 2.3% from 2012 to 2013 due primarily to a colder winter and resulting increase in energy consumption for heating purposes. 2013 emissions have been updated from what was previously reported in order to reflect updated emission factors for grid electricity now available from the U.S. EPA. (EGrid 2012).																				0.97	0.86	2.22	2011-2015																							37.174	46251.0	2630570.19087	672228.0	3.91321127783	3.66169128882	4.16473126682	70763.7109504	66215.4035536	75312.018347	1	0.0707637109504	37174000000.0
52	Durban	South Africa	Other: geopolitical boundary - physical areas over which local government has jurisdictional control	(-29.8586804, 31.0218404)	-29.883	31.05	groupAfrica	3555868.0	3560000	1.0	2292.0	1553.22862129	24.0	426.0	35.12			73	194	2016	2014-12-31 00:00:00	2014	22587081.0	11681810.0	10905271.0		Grade A	CO2; CH4; N2O	1.0	21197030.0693	21369342.0973	21283186.0833	10291759.0693	10464071.0973	10377915.0833	2.91853215116	3.28522037376	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Increased	Due to better data collection and addressing data gaps.	Durban Urban Area Cluster	352.0	357.5	348.125	582.6875	670.125	774.1875	0.376596456035	0.343461030383	0.310185443003	0.623403543965	0.643809295064	0.689814556997	1059.05987246	3280.97047787	835.226121983	3756.25070192	577.209792029	3899.61207185	1.17	1.19			9.3%	5.1	30.0	158.0	0.22		0.04	44%	43%	160.0	156.0	167.0	110.0	85.0	123.0	138.0	156.0	173.0	147.0	43.35	158.0	B	48.908	12884.0	10377915.0833	3555868.0	2.91853215117	2.89430290137	2.94276140096	212192.587783	210430.994302	213954.181265	1	0.212192587783	48908000000.0
53	Durham	USA	Administrative boundary of a local government	(35.994, -78.8986)	35.989	281.093	groupUSA	250815.0	263016	1.0	278.0872263	945.803960504	15.0		21.7			247	493	2016	2015-06-30 00:00:00	2015	4530469.0	1973070.0	2557399.0		Grade A	CO2; CH4; N2O	1.0	4280002.26526	4406172.23734	4343087.2513	1722603.26526	1848773.23734	1785688.2513	7.11954329405	7.86663477065	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		Decreased	weather, changed the way we were calculating	Durham Urban Area Cluster	53.8125	51.4375	52.3125	72.0625	85.1875	88.875	0.427507447865	0.373242630385	0.370517928287	0.572492552135	0.618140589569	0.629482071713	452.273456439	970.092753496	455.551242211	1140.63359411	532.48256047	1452.41008504	0.97	0.86	2.35	2011-2015	3.7%	1.7	10.0	778.0																			36.966	67953.0	1785688.2513	250815.0	7.11954329406	6.86802330507	7.37106328306	48306.2341422	46599.666322	50012.8019623	2	0.0483062341422	36966000000.0
54	Edmonton	Canada	Administrative boundary of a local government	(53.544389, -113.4909267)	53.533	246.5	groupCan	878000.0	932546	1.0	685.25	1360.88434878	3.6	671.0	25.6			0	2020	2016	2014-12-31 00:00:00	2014	16576702.0	10215142.0	6361560.0		Grade A	CO2; CH4; N2O	1.0	14769935.227	15424685.0168	15097310.1219	8408375.22697	9063125.01679	8735750.12188	9.94960150556	11.6345580866	International Emissions Analysis Protocol (ICLEI)	Each year we manually collect empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, and then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuels from US Environmental protection Agency, or Natural Resources Canada references, and the local utilities. The data is input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis.	Increased	"The changes from the 2013 dataset are as follows:Residential increased slightly, likely due to an increase in about 9,000 customers over the year, commercial increased energy consumption possibly due to a slight expansion in numbers, industrial showed a small decrease in emissions but we can't determine why, it was very much the same as 2013 values. All the vechicle fuel consumption numbers: gasoline, diesel, propane, natural gas for vehicles were very much the same as for 2013, ""Other"" emissions went up slightly due to an increase in some industrial sector emission due to production increases. Overall, total EMISSIONS in 2014 went up by 3.3% over 2013."	Edmonton Urban Area Cluster	102.5625	119.75	140.125	267.75	310.5625	364.8125	0.276962025316	0.258012388904	0.277509592771	0.723037974684	0.66913546997	0.722490407229	882.984416545	1594.3790886	866.207130918	1998.38264135	690.646285638	2572.65528894	1.16	1.17	2.9	2011	6.3%	3.6	17.0	447.0	0.2	139	-0.01	25%	36%														82.958	62832.0	8735750.12188	878000.0	9.94960150556	9.57673716056	10.3224658506	105303.287469	101357.014718	109249.560221	4	0.105303287469	82958000000.0
55	Emeryville, CA	USA	Administrative boundary of a local government	(37.831316, -122.285247)	37.831	237.715	groupUSA	10570.0	11671	1.0	3.2374875	3604.95600369	15.1	7.0	28.7			135	186	2016	2014-12-31 00:00:00	2014	167728.0	127138.0	40590.0		Grade A	CO2; CH4; N2O	1.0	157172.676809	162489.809376	159831.243092	116582.676809	121899.809376	119241.243092	11.2811015225	12.0281929991	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased																					0.97	0.86	1.74	2011-2015																									119241.243092	10570.0	11.2811015224	11.0295815335	11.5326215114				1		
56	Eugene	USA	Administrative boundary of a local government	(44.0519, -123.0867)	44.052	236.913	groupUSA	151190.0	166575	1.0	113.2343628	1471.064047	11.2	130.0	17.7			34	1425	2016	2015-12-31 00:00:00	2015	1250000.0	1106250.0	137500.0		Grade A	CO2; CH4; N2O	0.995	1099019.93252	1175074.54679	1137047.23965	955269.932516	1031324.54679	993297.239653	6.56986070278	7.31695217938	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	Used the community GHG accounting tool available from ICLEI at the time (2006/2007)	Decreased	Reductions in vehicle miles travelled, reduced manufacturing locally, warmer winters.	Eugene Urban Area Cluster	79.75	86.375	89.6875	155.3125	162.8125	169.0	0.339271470354	0.343354037267	0.346702101957	0.660728529646	0.647204968944	0.653297898043	235.273034072	1213.35510558	201.311090045	1330.33950428	193.346359222	1454.60302363	0.97	0.86	2.32	2011-2015	3.3%	1.5	8.0	900.0																					993297.239653	151190.0	6.56986070278	6.31834071378	6.82138069178				2		
57	Faro	Portugal	Administrative boundary of a local government	(37.019355, -7.93044)	37.033	352.083	groupEurope	61214.0	64560	1.0	202.57	318.704645308	17.8	200.0	18.91			125	153	2016	2010-12-31 00:00:00	2010	265.85	128.0	138.0		Grade A	CO2	1.00056422795								0.00209102492894	Other	Irradiare Science of evolution	Stayed the same	The data was collected in 2010	Faro Urban Area Cluster	26.4375	28.5	31.4375	14.5625	17.375	18.875	0.644817073171	0.618724559023	0.624844720497	0.355182926829	0.377204884668	0.375155279503	196.757899056	2512.4878135	195.981681929	2483.41872997	228.652424702	2662.66486104	1.64	1.89	2.4	2011																									128.0	61214.0	0.00209102492894						5		
59	Flagstaff	USA	Administrative boundary of a local government	(35.1992, -111.6311)	35.199	248.369	groupUSA	68667.0	71459	1.0	165.4226613	431.97829994	6.5	2134.0	15.9			320	844	2016	2014-12-31 00:00:00	2014	1211617.47	621293.07	590324.4		Grade A	CO2	1.0								9.04791340819	Other	Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation)	Stayed the same	City is growing at very slow rate, so emissions have not changed considerably over past three years of measuring.	Flagstaff Urban Area Cluster	15.8125	17.1875	17.9375	6.75	7.4375	8.1875	0.700831024931	0.696202531646	0.686602870813	0.299168975069	0.301265822785	0.313397129187	1038.21033882	1398.167518	1176.62218365	1642.89484637	1611.26933822	1770.02007905	0.97	0.86	2.52	2011-2015																									621293.07	68667.0	9.04791340819						5		
60	Florianópolis	Brazil	A metropolitan area	(-27.5949884, -48.5481743)	-27.572	311.374	groupLatinAmer	550000.0	469690	2.0	675.409	695.415666655	20.0	3.0				1	7	2016	2013-12-31 00:00:00	2013	1450465.0	1305206.0	145259.0		Grade A	CO2; CH4; N2O; HFCs; PFCs; SF6	1.0	1192070.7023	1217611.72396	1204841.21313	1046811.7023	1072352.72396	1059582.21313	1.92651311478	2.37310181818	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	IDOM / COBRAPE / BID /PMF (2014)	Increased	A diferença de emissões entre os anos é de 601.421 tCO2e, ou seja, houve um acréscimo de 42% em 2013 se comparado à 2010. Os setores de maior contribuição foram AFOLU, que deixou de sequestrar 6% e Transportes que passou a emitir 3% a mais.	Florianópolis Urban Area Cluster	85.3125	85.6875	85.75	124.0625	138.0	152.3125	0.407462686567	0.378206896552	0.360199527435	0.592537313433	0.609103448276	0.639800472565	499.186181295	3111.59644496	458.063161691	3784.54530428	530.649526329	4747.96459086	1.02	1.27	2.83390872033	2010																									1059582.21313	550000.0	1.92651311478	1.90329400418	1.94973222538				1		
62	Gladsaxe	Denmark	A metropolitan area	(55.733461, 12.488686)	55.733	12.483	groupEurope	67347.0	66693	1.0	25.0	2667.72						0	2481	2017	2015-01-03 03:15:00	2015	331283.0	247599.0	83684.0	Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	Grade A	CO2; CH4; N2O	1.0	307599.415521	311137.140554	309368.278038	223915.415521	227453.140554	225684.278038	3.35106653656	3.67646665776	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	Energy saving plans, projects and goals. Expansion of district heating which provide Citizens and Companies with eco-friendly heating.																				1.8	2.01	2.17959183673	2017																									225684.278038	67347.0	3.35106653656	3.32480163216	3.37733144096				1		
64	Guaratinguetá	Brazil	Administrative boundary of a local government	(-22.808027, -45.19422)	-22.817	314.772	groupLatinAmer		119073		752.64	158.207110969	24.0	540.0				4	0	2016	2015-12-31 00:00:00	2015	548195.98	497634.0	50562.0		Grade A	CO2; CH4; N2O	1.00000003648									2006 IPCC Guidelines for National Greenhouse Gas Inventories		First year of calculation		Guaratinguetá Urban Area Cluster	20.875	20.0625	21.0	27.875	29.75	32.375	0.428205128205	0.397277227723	0.393442622951	0.571794871795	0.589108910891	0.606557377049	638.644290302	3414.38598313	457.2427493	3794.19010526	340.161106342	3878.58307169	1.02	1.27	3.26293771758	2010																									497634.0	119073.0	4.17923458719						3		
66	Hamilton, ON	Canada	A metropolitan area	(43.250021, -79.866091)	43.25	280.133	groupCan	519949.0	536917	1.0	1138.11	471.761956226	8.2	75.0	26.9			18	1834	2016	2012-12-31 00:00:00	2012	16469283.0	6304593.0	10164690.0		Grade A	CO2; CH4	1.0	15399321.0673	15787061.954	15593191.5107	5234631.06735	5622371.95398	5428501.51067	10.4404499493	12.1254065303	International Emissions Analysis Protocol (ICLEI)	"Waste information directly from Public Works and reports to Ministry of Environment re: energy capture of methane control at landfill
Transportation and Agriculture data from Statistics Canada Census
Industrial (Steel Sector) GHG emissions data reported directly to Canada's National Pollutants Release Inventory (NPRI) 
Commercial, Residential, Industrial (not Steel) from local electricity and natural gas utilities"	Decreased	"In 2012 community emissions were estimated at 16,469,283 tonnes, a reduction of - 29% from 2006 emissions levels (estimated at 23,206,135 tonnes). These changes occurred due to the capturing of energy from methane emissions from the Glanbrook landfill, reduced energy demand and shifting of energy from coal as part of the Province’s actions towards the phasing out of coal in Ontario’s energy mixture sources by 2014, a reduction in steel manufacturing, and changing commuting habits and locations of employment.

Translated into per capita emissions, the Hamilton community has decreased its emissions by 26% from an estimated 46 tonnes CO2e/person in 2006 to an estimated 34 tonnes CO2e/person in 2011 while population has increased 3%."	Hamilton, ON Urban Area Cluster	97.0	99.5	108.375	182.125	202.875	217.75	0.347514554411	0.323643016873	0.332311230356	0.652485445589	0.65989022159	0.667688769644	450.912788582	2153.39088492	257.543878426	2248.24818563	172.528222608	2356.78111424	1.16	1.17	3.0	2011	7.5%	3.4	16.0	465.0	0.18		0.02	29%	40%																5428501.51067	519949.0	10.4404499493	10.0675856043	10.8133142942				4		
67	Hayward	USA	Administrative boundary of a local government	(37.6689, -122.0808)	37.669	237.919	groupUSA	158985.0	158937	1.0	117.3783468	1354.05723741	11.8	32.0	30.9			135	186	2016	2015-12-31 00:00:00	2015	1048704.0	861854.0	186850.0		Grade A	CO2; CH4; N2O	1.0	889939.756142	969915.567044	929927.661593	703089.756142	783065.567044	743077.661593	4.67388534511	5.42097682171	International Emissions Analysis Protocol (ICLEI)		Decreased	Comparing 2010 to 2015, energy emissions (natural gas and grid-supplied electricity) have decreased by 7%.																				0.97	0.86	3.2	2011-2015																									743077.661593	158985.0	4.67388534511	4.42236535612	4.92540533411				4		
69	Helsinki	Finland	Administrative boundary of a local government	(60.1733244, 24.9410248)	60.171	24.938	groupEurope	612664.0	629512	1.0	214.21	2938.7610289	5.9		26.2	17.0	3675.0	0	3399	2016	2014-12-31 00:00:00	2014	4885930.0	2096206.0	2789724.0		Grade A	CO2; CH4; N2O	1.0	3956401.77307	3978942.47638	3967672.12472	1166677.77307	1189218.47638	1177948.12472	1.92266580821	3.42146102921	Other	Regionally developed methodology equivalent to GPC (and IPCC guidelines)	Decreased	"Energy efficiency has improved in buildings and vehicles. National grid electricity produces less CO2 emissions than before. Traffic fuel mix includes more CO2-neutral fuels.
Long term: Less coal in district heating, waste management has improved, industry has decreased."	Helsinki Urban Area Cluster	154.5	167.4375	177.5	210.75	254.25	294.75	0.422997946612	0.38635708105	0.375860243515	0.577002053388	0.586674358235	0.624139756485	463.026335489	3482.90222472	425.385465438	3400.1027677	399.767957688	3676.7626355	1.78	1.89	1.9	2014	9.8%	4.9	25.0	242.0	0.26		0.03	40%	48%	62.0	1.0	42.0	117.0	10.0	29.0	28.0	33.0	63.0	52.0	76.91	29.0	RA	77.084	47547.0	1177948.12472	612664.0	1.92266580821	1.90427015961	1.94106145682	15281.3570225	15135.1483196	15427.5657254	5	0.0152813570225	77084000000.0
70	Hermosa Beach	USA	Administrative boundary of a local government	(33.8622, -118.3995)	33.866	241.6	groupUSA	19750.0	19789	1.0	3.7036857	5343.0559726	18.0	8.0	31.7			528	1154	2016	2012-12-31 00:00:00	2012	126611.0	123218.0	3334.0		Grade A	CO2; CH4; N2O	0.999534005734	106888.423554	116823.46312	111855.943337	103495.423554	113430.46312	108462.943337	5.49179459935	6.23888607595	International Emissions Analysis Protocol (ICLEI)		Decreased																					0.97	0.86	2.15	2011-2015																									108462.943337	19750.0	5.49179459934	5.24027461033	5.74331458835				4		
72	Hjørring	Denmark	Other: Energy plan for Hjoerring Municipality	(57.456779, 9.995764)	57.467	9.983	groupEurope	65308.0	67121	1.0	929.58	72.2057273177	7.5	22.0				0	2394	2016	2014-12-31 00:00:00	2014	417000.0	289000.0	128000.0		Grade A	CO2	1.0								4.42518527592	Other		Decreased	"Collective supply: decrease in fuel consumption, especially from fossil fuels. Electricity production has decreased substantially.
Industry: Large decrease in fuel consumption, especially from fossil fuels."	Hjørring Urban Area Cluster	9.6875	12.875	13.4375	13.125	14.75	16.0	0.424657534247	0.460850111857	0.456475583864	0.575342465753	0.527964205817	0.543524416136	229.186369262	1925.33479498	207.971441556	1731.15380174	204.445084636	1592.63202941	1.8	2.01	2.10208293029	2017																									289000.0	65308.0	4.42518527592						5		
73	Hoeje-Taastrup	Denmark	Administrative boundary of a local government	(55.656328, 12.2898)	55.648	12.27	groupEurope	50002.0	48853	1.0	78.41	623.045529907	8.1	27.0				0	2536	2016	2014-12-31 00:00:00	2014	297000.0	173000.0	124000.0		Grade A	CO2	1.0								3.45986160554	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	National standard for municipalities in Denmark	Decreased	From 390.000 ton CO2 in 2009. Energy conservation activities, conversion from oil and electricity heating to district heating, less fossil fuel in the combined heat and power production as well as in the district heating																				1.8	2.01	2.32438978945	2017																									173000.0	50002.0	3.45986160554						1		
